Rank,Username,Categories,Suscribers,Country,Visits,Likes,Comments,Links,Cluster,Recommendation
1,tseries,Música y baile,249500000.0,India,86200.0,2700.0,78.0,http://youtube.com/channel/UCq-Fj5jknLsUf-MWSy4_brA,0,Recommend channels from Cluster 0 to users interested in this type of content.
2,MrBeast,"Videojuegos, Humor",183500000.0,Estados Unidos,117400000.0,5300000.0,18500.0,http://youtube.com/channel/UCX6OQ3DkcsbYNE6H8uQQuVA,2,Recommend channels from Cluster 2 to users interested in this type of content.
3,CoComelon,Educación,165500000.0,Unknown,7000000.0,24700.0,0.0,http://youtube.com/channel/UCbCmjCuTUZos6Inko4u57UQ,0,Recommend channels from Cluster 0 to users interested in this type of content.
4,SETIndia,,162600000.0,India,15600.0,166.0,9.0,http://youtube.com/channel/UCpEhnqL0y41EpW2TvWAHD7Q,0,Recommend channels from Cluster 0 to users interested in this type of content.
5,KidsDianaShow,"Animación, Juguetes",113500000.0,Unknown,3900000.0,12400.0,0.0,http://youtube.com/channel/UCk8GzjMOrta8yxDcKfylJYw,0,Recommend channels from Cluster 0 to users interested in this type of content.
6,PewDiePie,"Películas, Videojuegos",111500000.0,Estados Unidos,2400000.0,197300.0,4900.0,http://youtube.com/channel/UC-lHJZR3Gqxm24_Vd_AJ5Yw,0,Recommend channels from Cluster 0 to users interested in this type of content.
7,LikeNastyaofficial,Juguetes,107500000.0,Unknown,2600000.0,28000.0,0.0,http://youtube.com/channel/UCJplp5SjeGSdVdwsfb9Q7lQ,0,Recommend channels from Cluster 0 to users interested in this type of content.
8,VladandNiki,"Animación, Juguetes",101400000.0,Unknown,4100000.0,22100.0,0.0,http://youtube.com/channel/UCvlE5gTbOvjiolFlEm-c_Ow,0,Recommend channels from Cluster 0 to users interested in this type of content.
9,zeemusiccompany,Música y baile,99700000.0,India,74300.0,2600.0,32.0,http://youtube.com/channel/UCFFbwnve3yF62-tVXkTyHqg,0,Recommend channels from Cluster 0 to users interested in this type of content.
10,WWE,Videojuegos,97200000.0,Estados Unidos,184500.0,6300.0,214.0,http://youtube.com/channel/UCJ5v_MCY6GNUBTO8-D3XoAg,0,Recommend channels from Cluster 0 to users interested in this type of content.
11,BLACKPINK,Música y baile,91300000.0,Estados Unidos,863200.0,146900.0,3400.0,http://youtube.com/channel/UCOmHUn--16B90oW2L6FRR3A,0,Recommend channels from Cluster 0 to users interested in this type of content.
12,GoldminesTelefilms,,89700000.0,India,34600.0,421.0,13.0,http://youtube.com/channel/UCyoXW-Dse7fURq30EWl_CUA,0,Recommend channels from Cluster 0 to users interested in this type of content.
13,SonySAB,"Películas, Animación",85400000.0,India,35500.0,615.0,21.0,http://youtube.com/channel/UC6-F5tO8uklgE9Zy8IvbdFw,0,Recommend channels from Cluster 0 to users interested in this type of content.
14,5MinuteCraftsYouTube,Películas,80300000.0,India,164600.0,703.0,35.0,http://youtube.com/channel/UC295-Dw_tDNtZXFeAPAW6Aw,0,Recommend channels from Cluster 0 to users interested in this type of content.
15,BTS,Música y baile,76500000.0,India,969700.0,180300.0,7400.0,http://youtube.com/channel/UCLkAepWjdylmXSltofFvsYQ,0,Recommend channels from Cluster 0 to users interested in this type of content.
16,HYBELABELS,Música y baile,72700000.0,Estados Unidos,440700.0,23900.0,932.0,http://youtube.com/channel/UC3IZKseVpdzPSBaWxBxundA,0,Recommend channels from Cluster 0 to users interested in this type of content.
17,zeetv,,72500000.0,India,7300.0,144.0,1.0,http://youtube.com/channel/UCppHT7SZKKvar4Oc9J4oljQ,0,Recommend channels from Cluster 0 to users interested in this type of content.
18,Pinkfong,"Animación, Juguetes",69600000.0,Unknown,506400.0,397.0,0.0,http://youtube.com/channel/UCcdwLMPsaU2ezNSJU1nFoBQ,0,Recommend channels from Cluster 0 to users interested in this type of content.
19,ChuChuTV,Juguetes,67500000.0,Unknown,652100.0,17800.0,0.0,http://youtube.com/channel/UCBnZ16ahKA2DZ_T5W0FPUXg,0,Recommend channels from Cluster 0 to users interested in this type of content.
20,KondZilla,Música y baile,66599999.99999999,Brasil,30400.0,1100.0,4.0,http://youtube.com/channel/UCffDXn7ycAzwL2LDlbyWOTw,0,Recommend channels from Cluster 0 to users interested in this type of content.
21,colorstv,,66599999.99999999,India,14700.0,413.0,3.0,http://youtube.com/channel/UC55IWqFLDH1Xp7iu1_xknRA,0,Recommend channels from Cluster 0 to users interested in this type of content.
22,filmigaane,Música y baile,66400000.00000001,India,33000.0,392.0,18.0,http://youtube.com/channel/UCP6uH_XlsxrXwZQ4DlqbqPg,0,Recommend channels from Cluster 0 to users interested in this type of content.
23,TSeriesBhaktiSagar,Música y baile,62600000.0,India,24900.0,983.0,35.0,http://youtube.com/channel/UCaayLD9i5x4MmIoVZxXSv_g,0,Recommend channels from Cluster 0 to users interested in this type of content.
